"","Dip","Gain","MatrixGo1","MatrixGo2","MatrixGo3","MatrixGo4","MatrixGo5","MatrixGo6","MatrixNoGo1","MatrixNoGo2","MatrixNoGo3","MatrixNoGo4","MatrixNoGo5","MatrixNoGo6"
"190","1.0","1.0",0.156276,0.139182,0.0957214,0.0346174,0.000118151,0.000101125,0.000134687,0.03866,0.0972367,0.140847,0.155191,0.159651
"191","1.0","1.1",0.156277,0.141266,0.102233,0.0419484,0.000141931,0.000101125,0.000131122,0.0338483,0.0905527,0.137274,0.154581,0.159651
"192","1.0","1.2",0.156278,0.142892,0.107865,0.0488099,0.000211232,0.000101125,0.000128219,0.0297179,0.0844385,0.133403,0.153929,0.159651
"193","1.0","1.3",0.156279,0.144195,0.11274,0.0552459,0.000377718,0.000101125,0.000125757,0.0261338,0.078768,0.129378,0.153232,0.159651
"194","1.0","1.4",0.15628,0.145258,0.116963,0.0612967,0.000698296,0.000101125,0.0001239,0.0229944,0.0734831,0.125277,0.152486,0.159651
"195","1.0","1.5",0.156281,0.14614,0.120625,0.0669959,0.00134488,0.000101125,0.000122212,0.0202218,0.0687098,0.121161,0.151687,0.159651
"196","1.0","1.6",0.156279,0.146879,0.1238,0.0723123,0.00276735,0.000101124,0.000120886,0.0177566,0.0643764,0.117182,0.150831,0.159651
"197","1.0","1.7",0.156278,0.147503,0.126545,0.0775846,0.00459542,0.000101124,0.000119606,0.0155868,0.0604273,0.113306,0.149913,0.15965
"198","1.0","1.8",0.156272,0.148036,0.128952,0.0826124,0.00702607,0.000101123,0.000118593,0.0136721,0.0568225,0.109392,0.148935,0.15965
"199","1.0","1.9",0.156273,0.148505,0.131057,0.0870214,0.0098481,0.000101123,0.000117708,0.0119443,0.0535229,0.105604,0.14789,0.15965
"200","1.0","2.0",0.156273,0.148916,0.132909,0.0910721,0.0128938,0.000101123,0.000116873,0.0103844,0.0504809,0.101951,0.146776,0.15965
"201","1.1","0.1",0.15515,0.00740808,0.000134651,0.000109079,9.79819e-05,9.99352e-05,0.0192029,0.153021,0.155689,0.158925,0.159273,0.159653
"202","1.1","0.2",0.156154,0.0400764,0.000648035,0.000112058,9.85032e-05,9.99355e-05,0.00655879,0.141268,0.153122,0.157972,0.158961,0.159653
"203","1.1","0.3",0.156244,0.0694066,0.00588857,0.000116244,9.90935e-05,9.99355e-05,0.00193607,0.123325,0.149766,0.156889,0.158632,0.159653
"204","1.1","0.4",0.156255,0.0905601,0.0200423,0.000125268,9.97776e-05,9.99342e-05,0.000370049,0.105333,0.145403,0.155655,0.158284,0.159652
"205","1.1","0.5",0.156266,0.105071,0.0354925,0.000267715,0.000100545,9.99342e-05,0.000189128,0.0896471,0.139916,0.154248,0.157917,0.159652
"206","1.1","0.6",0.156272,0.11557,0.0490525,0.00138533,0.000101437,9.99342e-05,0.000166144,0.0765622,0.133166,0.152641,0.157529,0.159652
"207","1.1","0.7",0.156276,0.123266,0.0608804,0.00550499,0.000102425,9.99342e-05,0.000153825,0.0657566,0.125677,0.150807,0.157117,0.159652
"208","1.1","0.8",0.156279,0.128979,0.0713235,0.0122056,0.000103614,9.99342e-05,0.000145245,0.0570217,0.118036,0.14872,0.156682,0.159652
"209","1.1","0.9",0.156275,0.133253,0.0808521,0.019784,0.000105062,9.99342e-05,0.000139235,0.0497806,0.110835,0.146357,0.156218,0.159651
"210","1.1","1.0",0.156276,0.136549,0.0887433,0.0273097,0.000107215,9.99342e-05,0.000134687,0.0437396,0.103709,0.143716,0.155727,0.159651
"211","1.1","1.1",0.156277,0.139095,0.0955854,0.0344177,0.000111169,9.99332e-05,0.000131122,0.0386101,0.0970818,0.140784,0.155206,0.159651
"212","1.1","1.2",0.156278,0.141037,0.101581,0.0411058,0.000121604,9.99332e-05,0.000128219,0.0341976,0.0909455,0.13751,0.154651,0.159651
"213","1.1","1.3",0.156279,0.142577,0.106838,0.0474037,0.000154006,9.99332e-05,0.000125757,0.0303619,0.085289,0.133974,0.154061,0.159651
"214","1.1","1.4",0.15628,0.143833,0.111451,0.0533458,0.000244114,9.99332e-05,0.0001239,0.0269972,0.0800251,0.130293,0.153433,0.159651
"215","1.1","1.5",0.156281,0.144871,0.115499,0.0589634,0.000440385,9.99332e-05,0.000122212,0.0240217,0.0750682,0.126532,0.152764,0.159651
"216","1.1","1.6",0.156281,0.145742,0.119054,0.0642847,0.000805119,9.99322e-05,0.000120886,0.0213714,0.0705328,0.122741,0.152051,0.159651
"217","1.1","1.7",0.156282,0.146481,0.122178,0.0692952,0.0015634,9.99322e-05,0.000119612,0.0189956,0.0663963,0.118999,0.151291,0.159651
