batch,epoch,avg_sse,cnt_err,pct_cor,pct_err,avg_norm_err,avg_cos_err,avg_ext_rew,avg_cycles,epoch_time_tot,epoch_time_usr,PFCout_lay_avg_sse,PFCout_lay_cnt_err,PFCout_lay_pct_cor,PFCout_lay_pct_err,PFCout_lay_avg_norm_err,PFCout_lay_avg_cos_err,net_avg_cos_diff,net_avg_trial_cos_diff,net_avg_avg_act_diff,GPeNoGo_avg_cos_diff,GPi_Thalamus_avg_cos_diff,MatrixGo_avg_cos_diff,MatrixNoGo_avg_cos_diff,PFCout_avg_cos_diff,PFCout_deep_avg_cos_diff,GPeNoGo_avg_trial_cos_diff,GPi_Thalamus_avg_trial_cos_diff,MatrixGo_avg_trial_cos_diff,MatrixNoGo_avg_trial_cos_diff,PFCout_avg_trial_cos_diff,PFCout_deep_avg_trial_cos_diff,GPeNoGo_avg_avg_act_diff,GPi_Thalamus_avg_avg_act_diff,MatrixGo_avg_avg_act_diff,MatrixNoGo_avg_avg_act_diff,PFCout_avg_avg_act_diff,PFCout_deep_avg_avg_act_diff,GPeNoGo_avg_net_sd,GPi_Thalamus_avg_net_sd,MatrixGo_avg_net_sd,MatrixNoGo_avg_net_sd,PFCout_avg_net_sd,PFCout_deep_avg_net_sd,GPeNoGo_hog_pct,GPi_Thalamus_hog_pct,MatrixGo_hog_pct,MatrixNoGo_hog_pct,PFCout_hog_pct,PFCout_deep_hog_pct,GPeNoGo_dead_pct,GPi_Thalamus_dead_pct,MatrixGo_dead_pct,MatrixNoGo_dead_pct,PFCout_dead_pct,PFCout_deep_dead_pct,GPeNoGo_netmax,GPi_Thalamus_netmax,MatrixGo_netmax,MatrixNoGo_netmax,PFCout_netmax,PFCout_deep_netmax,GPeNoGo_avg_act,GPi_Thalamus_avg_act,MatrixGo_avg_act,MatrixNoGo_avg_act,PFCout_avg_act,PFCout_deep_avg_act,GPeNoGo_Fm_MatrixNoGo_netrel,GPi_Thalamus_Fm_MatrixGo_netrel,GPi_Thalamus_Fm_GPeNoGo_netrel,MatrixGo_Marker_Fm_GPi_Thalamus_netrel,MatrixGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixGo_Fm_Input_netrel,MatrixGo_Fm_PFCout_netrel,MatrixGo_Marker_Fm_SNc_netrel,MatrixNoGo_Marker_Fm_GPi_Thalamus_netrel,MatrixNoGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixNoGo_Fm_Input_netrel,MatrixNoGo_Fm_PFCout_netrel,MatrixNoGo_Marker_Fm_SNc_netrel,PFCout_Marker_Fm_GPi_Thalamus_netrel,PFCout_Deep_Mod_Fm_PFCout_deep_netrel,PFCout_Fm_Input_netrel,PFCout_deep_Ctxt_Fm_PFCout_netrel,"MatrixGo_act_avg_0","MatrixGo_act_avg_1","MatrixGo_act_avg_2","MatrixGo_act_avg_3","MatrixGo_act_avg_4","MatrixGo_act_avg_5","MatrixNoGo_act_avg_0","MatrixNoGo_act_avg_1","MatrixNoGo_act_avg_2","MatrixNoGo_act_avg_3","MatrixNoGo_act_avg_4","MatrixNoGo_act_avg_5"
0,0,0,0,1,0,0,0,0,75,0.276,0.276,0,0,0,0,0,0,0.536704,0.0196508,-0.000201805,0,0,0.989847,0.996741,0.997095,0.312857,0,0,-0.0322618,-0.0328485,-0.0333067,0.288921,-0.00510874,0.00349429,8.9407e-09,-6.62274e-10,-3.4175e-13,-5.77662e-10,0,0,0.221863,0.21457,0.760098,0.094752,0,0,0,0,0,0,0,0,0,0,0,0,0.58013,0.427696,0.243039,0.23505,0.832645,0.311387,0.516173,0.645572,0.111891,0.150157,0.177316,0.0881332,1,0.629897,0.370103,0,0,0.484249,0.515751,0,0,0,0.48553,0.51447,0,0,0,1,0,0.140973,0.141153,0.13684,0.138141,0.136,0.138955,0.144661,0.147307,0.145943,0.146729,0.145602,0.14573
0,1,0,0,1,0,0,0,0,75,0.237,0.237,0,0,0,0,0,0,0.538211,0.00109052,0.00372931,0,0,0.98594,0.998309,0.999999,0.32144,0,0,-0.0415082,-0.0399473,-0.0399698,0.170109,0.0258448,0.00398964,1.5729e-09,-3.31137e-10,-3.23436e-13,-5.64339e-10,0,0,0.215053,0.228206,0.758723,0.0883316,0,0,0,0,0,0,0,0,0,0,0,0,0.605408,0.384506,0.235579,0.249987,0.831139,0.290287,0.448382,0.591831,0.0993394,0.144016,0.173831,0.0781215,1,0.603919,0.396081,0,0,0.48519,0.51481,0,0,0,0.482666,0.517334,0,0,0,1,0,0.134422,0.133882,0.125295,0.126553,0.122461,0.126643,0.138607,0.143964,0.143499,0.14487,0.144649,0.144086
0,2,0,0,1,0,0,0,0,75,0.236,0.236,0,0,0,0,0,0,0.527635,0.0648584,-0.000745004,0,0,0.915681,0.992531,0.999999,0.31287,0,0,0.0633011,0.0811197,0.0799786,0.214496,-0.00598567,2.56325e-05,7.45058e-10,-6.62274e-10,-3.3494e-13,-5.87434e-10,0,0,0.206987,0.242546,0.761141,0.104821,0,0,0,0,0,0,0,0,0,0,0,0,0.616667,0.346531,0.226743,0.265695,0.833788,0.344477,0.394631,0.534846,0.088439,0.140096,0.171255,0.0712659,1,0.578041,0.421959,0,0,0.486848,0.513152,0,0,0,0.482614,0.517386,0,0,0,1,0,0.130621,0.128042,0.114649,0.115038,0.109023,0.112665,0.131275,0.140572,0.141222,0.144932,0.145127,0.144485
0,3,0,0,1,0,0,0,0,75,0.233,0.233,0,0,0,0,0,0,0.517929,0.017703,-0.00332267,0,0,0.847207,0.980388,0.999999,0.315836,0,0,-0.0289909,0.00267549,-2.56747e-06,0.167943,-0.0228509,-0.00373043,7.19188e-09,-8.27842e-10,-4.05307e-13,-7.54431e-10,0,0,0.202106,0.251514,0.761465,0.104645,0,0,0,0,0,0,0,0,0,0,0,0,0.611804,0.459077,0.221396,0.27552,0.834143,0.343898,0.354034,0.48029,0.079651,0.136601,0.169353,0.0668316,1,0.611135,0.388865,0,0,0.47978,0.52022,0,0,0,0.482821,0.517179,0,0,0,1,0,0.130185,0.123352,0.104838,0.103843,0.0960106,0.0978894,0.122554,0.137071,0.140623,0.144411,0.145469,0.145722
0,4,0,0,1,0,0,0,0,75,0.232,0.232,0,0,0,0,0,0,0.497674,0.0335971,8.07721e-05,0,0,0.721798,0.952403,0.999999,0.307193,0,0,-0.0537955,0.00683072,-4.09236e-06,0.315749,0.00260592,-0.00195976,1.37375e-08,2.98023e-09,-5.01171e-13,-8.3602e-10,0,0,0.19744,0.257891,0.763342,0.122241,0,0,0,0,0,0,0,0,0,0,0,0,0.604498,0.473322,0.216285,0.282505,0.836199,0.401725,0.325295,0.435296,0.0723227,0.13366,0.167945,0.0634975,1,0.616204,0.383796,0,0,0.477986,0.522014,0,0,0,0.483368,0.516632,0,0,0,1,0,0.131278,0.119088,0.0962015,0.092969,0.083557,0.0842225,0.113043,0.133144,0.140465,0.144048,0.145907,0.14787
0,5,0,0,1,0,0,0,0,75,0.236,0.236,0,0,0,0,0,0,0.490584,0.0257914,0.00545635,0,0,0.663356,0.945479,0.999999,0.315838,0,0,-0.00905961,0.00951038,-1.10318e-06,0.205882,0.0398916,0.00375922,2.11996e-08,-1.40733e-09,-3.99851e-13,-6.75772e-10,0,0,0.19346,0.264708,0.762118,0.115031,0,0,0,0,0,0,0,0,0,0,0,0,0.600341,0.587929,0.211925,0.289973,0.834859,0.378031,0.310274,0.394009,0.0663324,0.131329,0.166903,0.060886,1,0.684529,0.315471,0,0,0.487771,0.512229,0,0,0,0.484701,0.515299,0,0,0,1,0,0.132889,0.115147,0.0886423,0.0824126,0.0719189,0.0724637,0.103153,0.130368,0.139714,0.144471,0.147696,0.148746
0,6,0,0,1,0,0,0,0,75,0.234,0.234,0,0,0,0,0,0,0.481565,-0.037758,0.00257547,0,0,0.627595,0.914851,0.999999,0.310079,0,0,-0.0801762,-0.145827,-0.159996,0.24393,0.0224326,-0.00182884,5.3528e-09,1.32455e-09,-5.39864e-13,-7.67031e-10,0,0,0.192334,0.267616,0.763326,0.127367,0,0,0,0,0,0,0,0,0,0,0,0,0.592224,0.648394,0.210691,0.293159,0.836182,0.41857,0.297538,0.364362,0.0619027,0.129155,0.166133,0.0591262,1,0.694878,0.305122,0,0,0.490275,0.509725,0,0,0,0.485618,0.514382,0,0,0,1,0,0.134784,0.112136,0.0821508,0.0724595,0.061878,0.0623466,0.093229,0.12738,0.139273,0.145092,0.148896,0.149914
0,7,0,0,1,0,0,0,0,75,0.235,0.235,0,0,0,0,0,0,0.479527,0.0229939,0.00254536,0,0,0.629427,0.890905,0.999999,0.315885,0,0,-0.0396608,0.0182323,-4.34617e-07,0.20538,0.0196874,0.000675469,1.95175e-09,-1.40733e-09,-3.98243e-13,-6.86024e-10,0,0,0.19052,0.271767,0.76308,0.12064,0,0,0,0,0,0,0,0,0,0,0,0,0.588545,0.648971,0.208704,0.297706,0.835912,0.396462,0.286245,0.339852,0.058165,0.127481,0.165562,0.0574886,1,0.70097,0.29903,0,0,0.494354,0.505646,0,0,0,0.486389,0.513611,0,0,0,1,0,0.136884,0.109205,0.0761264,0.0631349,0.0532389,0.0536421,0.0835058,0.124395,0.138687,0.146377,0.15021,0.151241
0,8,0,0,1,0,0,0,0,75,0.237,0.237,0,0,0,0,0,0,0.480532,-0.0147274,0.00396424,0,0,0.652991,0.875388,0.999999,0.315881,0,0,-0.0666992,-0.0577681,-0.0799996,0.166647,0.0311207,0.000593263,-4.03043e-09,-2.35935e-09,-4.7447e-13,-7.64753e-10,0,0,0.189755,0.271748,0.763185,0.124827,0,0,0,0,0,0,0,0,0,0,0,0,0.619819,0.666826,0.207866,0.297685,0.836027,0.410223,0.27522,0.32163,0.0551747,0.126093,0.165139,0.0561664,1,0.713161,0.286839,0,0,0.49116,0.50884,0,0,0,0.487994,0.512006,0,0,0,1,0,0.138524,0.107263,0.0704991,0.0546552,0.0458059,0.0461528,0.0742562,0.121401,0.138705,0.147551,0.151774,0.151939
0,9,0,0,1,0,0,0,0,75,0.234,0.234,0,0,0,0,0,0,0.474798,0.0155674,0.00401095,0,0,0.606274,0.882018,0.999999,0.310089,0,0,0.00451407,-0.0497155,-0.0399999,0.24974,0.0293598,0.00272778,3.24679e-10,-6.20882e-11,-5.42627e-13,-6.19825e-10,0,0,0.189859,0.273925,0.763788,0.139361,0,0,0,0,0,0,0,0,0,0,0,0,0.682223,0.679505,0.20798,0.30007,0.836688,0.457989,0.264425,0.310795,0.0531178,0.124764,0.164827,0.0553845,1,0.739539,0.260461,0,0,0.492713,0.507287,0,0,0,0.489519,0.510481,0,0,0,1,0,0.140076,0.106169,0.065411,0.047128,0.0394106,0.0397091,0.065572,0.118331,0.139799,0.148129,0.152735,0.152614
