batch,epoch,avg_sse,cnt_err,pct_cor,pct_err,avg_norm_err,avg_cos_err,avg_ext_rew,avg_cycles,epoch_time_tot,epoch_time_usr,PFCout_lay_avg_sse,PFCout_lay_cnt_err,PFCout_lay_pct_cor,PFCout_lay_pct_err,PFCout_lay_avg_norm_err,PFCout_lay_avg_cos_err,net_avg_cos_diff,net_avg_trial_cos_diff,net_avg_avg_act_diff,GPeNoGo_avg_cos_diff,GPi_Thalamus_avg_cos_diff,MatrixGo_avg_cos_diff,MatrixNoGo_avg_cos_diff,PFCout_avg_cos_diff,PFCout_deep_avg_cos_diff,GPeNoGo_avg_trial_cos_diff,GPi_Thalamus_avg_trial_cos_diff,MatrixGo_avg_trial_cos_diff,MatrixNoGo_avg_trial_cos_diff,PFCout_avg_trial_cos_diff,PFCout_deep_avg_trial_cos_diff,GPeNoGo_avg_avg_act_diff,GPi_Thalamus_avg_avg_act_diff,MatrixGo_avg_avg_act_diff,MatrixNoGo_avg_avg_act_diff,PFCout_avg_avg_act_diff,PFCout_deep_avg_avg_act_diff,GPeNoGo_avg_net_sd,GPi_Thalamus_avg_net_sd,MatrixGo_avg_net_sd,MatrixNoGo_avg_net_sd,PFCout_avg_net_sd,PFCout_deep_avg_net_sd,GPeNoGo_hog_pct,GPi_Thalamus_hog_pct,MatrixGo_hog_pct,MatrixNoGo_hog_pct,PFCout_hog_pct,PFCout_deep_hog_pct,GPeNoGo_dead_pct,GPi_Thalamus_dead_pct,MatrixGo_dead_pct,MatrixNoGo_dead_pct,PFCout_dead_pct,PFCout_deep_dead_pct,GPeNoGo_netmax,GPi_Thalamus_netmax,MatrixGo_netmax,MatrixNoGo_netmax,PFCout_netmax,PFCout_deep_netmax,GPeNoGo_avg_act,GPi_Thalamus_avg_act,MatrixGo_avg_act,MatrixNoGo_avg_act,PFCout_avg_act,PFCout_deep_avg_act,GPeNoGo_Fm_MatrixNoGo_netrel,GPi_Thalamus_Fm_MatrixGo_netrel,GPi_Thalamus_Fm_GPeNoGo_netrel,MatrixGo_Marker_Fm_GPi_Thalamus_netrel,MatrixGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixGo_Fm_Input_netrel,MatrixGo_Fm_PFCout_netrel,MatrixGo_Marker_Fm_SNc_netrel,MatrixNoGo_Marker_Fm_GPi_Thalamus_netrel,MatrixNoGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixNoGo_Fm_Input_netrel,MatrixNoGo_Fm_PFCout_netrel,MatrixNoGo_Marker_Fm_SNc_netrel,PFCout_Marker_Fm_GPi_Thalamus_netrel,PFCout_Deep_Mod_Fm_PFCout_deep_netrel,PFCout_Fm_Input_netrel,PFCout_deep_Ctxt_Fm_PFCout_netrel,"MatrixGo_act_avg_0","MatrixGo_act_avg_1","MatrixGo_act_avg_2","MatrixGo_act_avg_3","MatrixGo_act_avg_4","MatrixGo_act_avg_5","MatrixNoGo_act_avg_0","MatrixNoGo_act_avg_1","MatrixNoGo_act_avg_2","MatrixNoGo_act_avg_3","MatrixNoGo_act_avg_4","MatrixNoGo_act_avg_5"
0,0,0,0,1,0,0,0,0,75,0.276,0.276,0,0,0,0,0,0,0.5368,0.0195639,0.00232829,0,0,0.990676,0.996674,0.997095,0.312857,0,0,-0.0331328,-0.0326728,-0.0333067,0.288921,0.0149788,0.00364756,1.82125e-09,1.98682e-09,-3.4175e-13,-5.77662e-10,0,0,0.2248,0.209647,0.760098,0.094752,0,0,0,0,0,0,0,0,0,0,0,0,0.568301,0.44973,0.246256,0.229656,0.832645,0.311387,0.52154,0.649029,0.112459,0.149462,0.177316,0.0881332,1,0.649912,0.350088,0,0,0.484334,0.515666,0,0,0,0.485694,0.514306,0,0,0,1,0,0.141299,0.141417,0.137165,0.138465,0.136221,0.139266,0.144296,0.147026,0.145487,0.146318,0.145278,0.145402
0,1,0,0,1,0,0,0,0,75,0.235,0.235,0,0,0,0,0,0,0.538551,0.00121136,5.20131e-05,0,0,0.989413,0.997552,0.999999,0.32144,0,0,-0.0406222,-0.0398666,-0.0399698,0.170109,-0.00142806,0.00184416,7.78172e-09,-6.62274e-10,-3.23436e-13,-5.64339e-10,0,0,0.230249,0.204765,0.758723,0.0883316,0,0,0,0,0,0,0,0,0,0,0,0,0.55221,0.476696,0.252226,0.224309,0.831139,0.290287,0.447241,0.605328,0.102528,0.140509,0.173831,0.0781215,1,0.649534,0.350466,0,0,0.485532,0.514468,0,0,0,0.483725,0.516275,0,0,0,1,0,0.136023,0.13578,0.127274,0.128354,0.123979,0.128176,0.136821,0.141852,0.140903,0.142881,0.14292,0.142913
0,2,0,0,1,0,0,0,0,75,0.237,0.237,0,0,0,0,0,0,0.548289,0.0632622,5.38757e-05,0,0,0.950185,0.987197,0.999999,0.448929,0,0,0.0749772,0.0819578,0.0799793,0.189211,-0.001791,0.00222201,5.71211e-09,-2.48353e-09,-3.27158e-13,-7.96043e-10,0,0,0.236206,0.201701,0.78677,0.141349,0,0,0,0,0,0,0,0,0,0,0,0,0.529569,0.502613,0.258751,0.220952,0.861863,0.3318,0.391713,0.575524,0.0959128,0.132707,0.171279,0.0761135,1,0.643121,0.356879,0,0,0.487752,0.512248,0,0,0,0.482861,0.517139,0,0,0,1,0,0.134041,0.132998,0.119284,0.120157,0.112638,0.116168,0.127217,0.134824,0.135582,0.140027,0.142057,0.142754
0,3,0,0,1,0,0,0,0,75,0.231,0.231,0,0,0,0,0,0,0.544758,0.0310771,0.00366048,0,0,0.92094,0.960415,0.999999,0.47671,0,0,-0.0123562,0.00797225,-2.34048e-06,0.253004,0.0233342,0.00594962,-3.80807e-09,-5.7949e-10,-4.59888e-13,-1.05588e-09,0,0,0.243632,0.197624,0.7959,0.163855,0,0,0,0,0,0,0,0,0,0,0,0,0.498875,0.527925,0.266886,0.216486,0.871865,0.358987,0.352555,0.550266,0.092049,0.124889,0.169404,0.0771846,1,0.673514,0.326486,0,0,0.489135,0.510865,0,0,0,0.482407,0.517593,0,0,0,1,0,0.135212,0.132292,0.114147,0.112684,0.102088,0.103515,0.115789,0.126343,0.130358,0.136639,0.141303,0.143794
0,4,0,0,1,0,0,0,0,75,0.217,0.217,0,0,0,0,0,0,0.528022,0.026093,0.000930469,0,0,0.842369,0.902172,0.999999,0.479638,0,0,-0.0183703,0.0190648,-4.93377e-06,0.208057,0.00923835,-0.00179461,1.32041e-08,4.96705e-10,-4.31788e-13,-1.20165e-09,0,0,0.249239,0.194674,0.796493,0.162544,0,1,0,0,0,0,0,0,0,0,0,0,0.4712,0.664091,0.273027,0.213255,0.872515,0.356116,0.31992,0.527002,0.0893114,0.117765,0.168016,0.0779696,1,0.701308,0.298691,0,0,0.486368,0.513632,0,0,0,0.482627,0.517373,0,0,0,1,0,0.137172,0.131978,0.111893,0.10641,0.0924302,0.0904515,0.103799,0.117182,0.124458,0.133224,0.140738,0.14596
0,5,0,0,1,0,0,0,0,75,0.232,0.232,0,0,0,0,0,0,0.529953,0.0257039,-0.00123535,0,0,0.833836,0.892849,0.999999,0.51294,0,0,-0.0280704,0.0190212,-9.12944e-07,0.214683,-0.00701852,-0.00286427,4.76009e-09,2.69049e-09,-4.17896e-13,-9.78271e-10,0,0,0.253175,0.193047,0.803444,0.184168,0,1,0,0,0,0,0,0,0,0,0,0,0.478758,0.696456,0.277339,0.211473,0.880129,0.378273,0.288624,0.511907,0.0875999,0.111441,0.166995,0.0797912,1,0.704209,0.295791,0,0,0.489049,0.510951,0,0,0,0.484283,0.515717,0,0,0,1,0,0.139041,0.132514,0.110999,0.101332,0.0835463,0.0782755,0.0918984,0.108095,0.117895,0.130598,0.141767,0.14693
0,6,0,0,1,0,0,0,0,75,0.234,0.234,0,0,0,0,0,0,0.509891,-0.0396699,0.00351178,0,0,0.768655,0.830863,0.999999,0.479613,0,0,-0.117146,-0.127448,-0.159996,0.247225,0.0303516,-0.00225737,1.72517e-08,2.06961e-11,-5.29552e-13,-1.13709e-09,0,0,0.257651,0.191618,0.796878,0.175207,0,1,0,0,0,0,0,0,0,0,0,0,0.511682,0.723005,0.282243,0.209907,0.872936,0.38386,0.265577,0.497481,0.0867458,0.105807,0.166234,0.0798065,1,0.728386,0.271614,0,0,0.487841,0.51216,0,0,0,0.487542,0.512458,0,0,0,1,0,0.140797,0.133756,0.111587,0.096965,0.0754141,0.0673488,0.0804535,0.099057,0.111231,0.128478,0.142397,0.148242
0,7,0,0,1,0,0,0,0,75,0.23,0.23,0,0,0,0,0,0,0.508108,0.0259352,0.00108668,0,0,0.789085,0.796165,0.999999,0.479614,0,0,-0.00586948,0.0309598,-7.71383e-07,0.182392,0.00333916,0.0053157,5.30855e-09,3.85503e-05,-4.39757e-13,-9.86712e-10,0,0,0.258683,0.191938,0.797116,0.180089,0,1,0,0,0,0,0,0,0,0,0,0,0.508351,0.727206,0.283373,0.210258,0.873196,0.394555,0.246166,0.481109,0.0858033,0.101483,0.165668,0.0792261,1,0.775694,0.224306,0,0,0.489036,0.510964,0,0,0,0.488279,0.51172,0,0,0,1,0,0.142539,0.134672,0.111878,0.0933052,0.0680577,0.0579459,0.0695744,0.0904637,0.10498,0.127328,0.143216,0.14973
0,8,0,0,1,0,0,0,0,75,0.228,0.228,0,0,0,0,0,0,0.515654,-0.0134187,0.00120489,0,0,0.766379,0.776334,0.999999,0.582516,0,0,-0.0656219,-0.0378983,-0.0799996,0.15617,0.0121027,-0.00246381,3.47699e-09,2.42318e-07,-5.1021e-13,-1.30386e-09,0,0,0.261471,0.189067,0.818102,0.222529,0,1,0,0,0,0,0,0,0,0,0,0,0.497664,0.739641,0.286427,0.207113,0.896186,0.406281,0.232402,0.468127,0.085396,0.0977518,0.16527,0.0832378,1,0.812319,0.187681,0,0,0.489502,0.510498,0,0,0,0.488002,0.511998,0,0,0,1,0,0.143729,0.136098,0.112225,0.0908652,0.0615118,0.0498557,0.0598609,0.0823274,0.0996332,0.125679,0.144239,0.150587
0,9,0,0,1,0,0,0,0,75,0.23,0.23,0,0,0,0,0,0,0.524418,-0.00357753,0.000112329,0,0,0.800862,0.7424,0.999999,0.65208,0,0,-0.0500075,-0.0423908,-0.04,0.143778,0.00537318,-0.00447453,-6.04325e-09,-1.90392e-09,-5.10683e-13,-1.41851e-09,0,0,0.262883,0.190165,0.832121,0.249065,0,1,0,0,0,0,0,0,0,0,0,0,0.494153,0.811737,0.287974,0.208315,0.911543,0.409256,0.22247,0.460356,0.085428,0.0946246,0.16499,0.0890613,1,0.818082,0.181918,0,0,0.491272,0.508728,0,0,0,0.487593,0.512407,0,0,0,1,0,0.144787,0.137667,0.11326,0.0887445,0.0554519,0.0428951,0.0515034,0.0747023,0.0953977,0.123726,0.145019,0.151416
