batch,epoch,avg_sse,cnt_err,pct_cor,pct_err,avg_norm_err,avg_cos_err,avg_ext_rew,avg_cycles,epoch_time_tot,epoch_time_usr,PFCout_lay_avg_sse,PFCout_lay_cnt_err,PFCout_lay_pct_cor,PFCout_lay_pct_err,PFCout_lay_avg_norm_err,PFCout_lay_avg_cos_err,net_avg_cos_diff,net_avg_trial_cos_diff,net_avg_avg_act_diff,GPeNoGo_avg_cos_diff,GPi_Thalamus_avg_cos_diff,MatrixGo_avg_cos_diff,MatrixNoGo_avg_cos_diff,PFCout_avg_cos_diff,PFCout_deep_avg_cos_diff,GPeNoGo_avg_trial_cos_diff,GPi_Thalamus_avg_trial_cos_diff,MatrixGo_avg_trial_cos_diff,MatrixNoGo_avg_trial_cos_diff,PFCout_avg_trial_cos_diff,PFCout_deep_avg_trial_cos_diff,GPeNoGo_avg_avg_act_diff,GPi_Thalamus_avg_avg_act_diff,MatrixGo_avg_avg_act_diff,MatrixNoGo_avg_avg_act_diff,PFCout_avg_avg_act_diff,PFCout_deep_avg_avg_act_diff,GPeNoGo_avg_net_sd,GPi_Thalamus_avg_net_sd,MatrixGo_avg_net_sd,MatrixNoGo_avg_net_sd,PFCout_avg_net_sd,PFCout_deep_avg_net_sd,GPeNoGo_hog_pct,GPi_Thalamus_hog_pct,MatrixGo_hog_pct,MatrixNoGo_hog_pct,PFCout_hog_pct,PFCout_deep_hog_pct,GPeNoGo_dead_pct,GPi_Thalamus_dead_pct,MatrixGo_dead_pct,MatrixNoGo_dead_pct,PFCout_dead_pct,PFCout_deep_dead_pct,GPeNoGo_netmax,GPi_Thalamus_netmax,MatrixGo_netmax,MatrixNoGo_netmax,PFCout_netmax,PFCout_deep_netmax,GPeNoGo_avg_act,GPi_Thalamus_avg_act,MatrixGo_avg_act,MatrixNoGo_avg_act,PFCout_avg_act,PFCout_deep_avg_act,GPeNoGo_Fm_MatrixNoGo_netrel,GPi_Thalamus_Fm_MatrixGo_netrel,GPi_Thalamus_Fm_GPeNoGo_netrel,MatrixGo_Marker_Fm_GPi_Thalamus_netrel,MatrixGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixGo_Fm_Input_netrel,MatrixGo_Fm_PFCout_netrel,MatrixGo_Marker_Fm_SNc_netrel,MatrixNoGo_Marker_Fm_GPi_Thalamus_netrel,MatrixNoGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixNoGo_Fm_Input_netrel,MatrixNoGo_Fm_PFCout_netrel,MatrixNoGo_Marker_Fm_SNc_netrel,PFCout_Marker_Fm_GPi_Thalamus_netrel,PFCout_Deep_Mod_Fm_PFCout_deep_netrel,PFCout_Fm_Input_netrel,PFCout_deep_Ctxt_Fm_PFCout_netrel,"MatrixGo_act_avg_0","MatrixGo_act_avg_1","MatrixGo_act_avg_2","MatrixGo_act_avg_3","MatrixGo_act_avg_4","MatrixGo_act_avg_5","MatrixNoGo_act_avg_0","MatrixNoGo_act_avg_1","MatrixNoGo_act_avg_2","MatrixNoGo_act_avg_3","MatrixNoGo_act_avg_4","MatrixNoGo_act_avg_5"
0,0,0,0,1,0,0,0,0,75,0.301,0.301,0,0,0,0,0,0,0.536772,0.0195783,-0.00162701,0,0,0.990484,0.996643,0.997095,0.312857,0,0,-0.0330012,-0.0326889,-0.0333067,0.288921,-0.0105011,-0.00251492,1.15898e-08,3.31137e-10,-3.4175e-13,-5.77662e-10,0,0,0.224625,0.210004,0.760098,0.094752,0,0,0,0,0,0,0,0,0,0,0,0,0.569059,0.451237,0.246065,0.230048,0.832645,0.311387,0.518973,0.648122,0.112423,0.14951,0.177316,0.0881332,1,0.644548,0.355452,0,0,0.484366,0.515634,0,0,0,0.48566,0.51434,0,0,0,1,0,0.141342,0.141416,0.137168,0.138423,0.136199,0.139174,0.144248,0.147021,0.145493,0.14637,0.145322,0.145502
0,1,0,0,1,0,0,0,0,75,0.248,0.248,0,0,0,0,0,0,0.538288,0.0011854,0.00204269,0,0,0.98774,0.99712,0.999999,0.32144,0,0,-0.0407851,-0.0399115,-0.0399698,0.170109,0.0162938,4.77095e-05,4.13921e-09,-6.62274e-10,-3.23436e-13,-5.64339e-10,0,0,0.229124,0.207051,0.758723,0.0883316,0,0,0,0,0,0,0,0,0,0,0,0,0.556539,0.470172,0.250993,0.226813,0.831139,0.290287,0.448481,0.6043,0.102279,0.140788,0.173831,0.0781215,1,0.646628,0.353372,0,0,0.485659,0.514341,0,0,0,0.483327,0.516673,0,0,0,1,0,0.136211,0.135833,0.127218,0.128119,0.123701,0.127692,0.136611,0.141766,0.14104,0.143155,0.143309,0.143321
0,2,0,0,1,0,0,0,0,75,0.235,0.235,0,0,0,0,0,0,0.537815,0.064695,0.00471632,0,0,0.937685,0.985429,0.999999,0.379406,0,0,0.0732782,0.0822931,0.0799778,0.202039,0.035476,0.00225454,8.27842e-09,8.27842e-10,-3.53362e-13,-7.32911e-10,0,0,0.233632,0.205961,0.773982,0.125754,0,0,0,0,0,0,0,0,0,0,0,0,0.536295,0.483871,0.255931,0.225619,0.847854,0.344392,0.396359,0.572439,0.0952142,0.133277,0.171267,0.073732,1,0.638859,0.361141,0,0,0.488038,0.511962,0,0,0,0.4826,0.5174,0,0,0,1,0,0.134385,0.13304,0.119075,0.119523,0.111909,0.115012,0.12679,0.134721,0.13595,0.140696,0.142844,0.143407
0,3,0,0,1,0,0,0,0,75,0.23,0.23,0,0,0,0,0,0,0.541678,0.0303722,0.00287948,0,0,0.900627,0.956087,0.999999,0.476711,0,0,-0.0183345,0.00865924,-2.34395e-06,0.252656,0.0185906,0.00444526,9.89272e-09,-8.77513e-09,-4.59146e-13,-1.05593e-09,0,0,0.239705,0.203153,0.795906,0.163687,0,0,0,0,0,0,0,0,0,0,0,0,0.507155,0.542846,0.262583,0.222543,0.871871,0.35862,0.356467,0.543028,0.0907856,0.125747,0.169395,0.0754253,1,0.685256,0.314744,0,0,0.488446,0.511554,0,0,0,0.482253,0.517747,0,0,0,1,0,0.135635,0.132259,0.11362,0.111586,0.100823,0.101571,0.115147,0.126329,0.131169,0.137751,0.142381,0.144557
0,4,0,0,1,0,0,0,0,75,0.246,0.246,0,0,0,0,0,0,0.523372,0.0254762,0.00366294,0,0,0.812789,0.894546,0.999999,0.479639,0,0,-0.0243371,0.0202989,-4.90646e-06,0.207856,0.0237554,0.00554816,7.6265e-09,3.64251e-09,-4.31537e-13,-1.20168e-09,0,0,0.244154,0.200491,0.796489,0.162452,0,1,0,0,0,0,0,0,0,0,0,0,0.479876,0.637176,0.267457,0.219626,0.87251,0.355915,0.323623,0.518109,0.0874732,0.118876,0.168009,0.0766675,1,0.67944,0.32056,0,0,0.486626,0.513374,0,0,0,0.482662,0.517338,0,0,0,1,0,0.137612,0.13182,0.111018,0.104744,0.0905531,0.0878368,0.102981,0.117337,0.125698,0.134815,0.142034,0.146736
0,5,0,0,1,0,0,0,0,75,0.232,0.232,0,0,0,0,0,0,0.518909,0.0317386,0.0034047,0,0,0.78942,0.885152,0.999999,0.476702,0,0,-0.0265096,0.0206423,-7.7039e-07,0.259778,0.0192148,0.00802277,2.3379e-08,1.36594e-09,-4.32011e-13,-9.00972e-10,0,0,0.246714,0.199943,0.796716,0.175762,0,1,0,0,0,0,0,0,0,0,0,0,0.507914,0.658245,0.270262,0.219027,0.872759,0.385076,0.292666,0.494175,0.0852783,0.112885,0.166984,0.0774065,1,0.775932,0.224068,0,0,0.48932,0.51068,0,0,0,0.484606,0.515394,0,0,0,1,0,0.139468,0.13208,0.109786,0.0989398,0.0809456,0.0755776,0.0909536,0.108621,0.11955,0.132791,0.143253,0.147682
0,6,0,0,1,0,0,0,0,75,0.242,0.242,0,0,0,0,0,0,0.506976,-0.0390955,0.000446237,0,0,0.752677,0.823517,0.999999,0.479614,0,0,-0.112662,-0.127018,-0.159996,0.246907,0.00352111,4.87844e-05,-3.09929e-09,6.72622e-09,-5.29447e-13,-1.13716e-09,0,0,0.250531,0.198841,0.796883,0.175125,0,1,0,0,0,0,0,0,0,0,0,0,0.529466,0.814397,0.274443,0.21782,0.872942,0.38368,0.265005,0.475976,0.0841268,0.107582,0.166225,0.0780438,1,0.787647,0.212353,0,0,0.487479,0.512521,0,0,0,0.487779,0.512221,0,0,0,1,0,0.141194,0.133138,0.109993,0.093792,0.0721386,0.0650258,0.0794337,0.099947,0.113367,0.13131,0.144021,0.148942
0,7,0,0,1,0,0,0,0,75,0.235,0.235,0,0,0,0,0,0,0.501382,0.0259778,0.00175528,0,0,0.736948,0.794496,0.999999,0.479615,0,0,-0.00594696,0.0315472,-7.68403e-07,0.182223,0.0142716,-0.000241569,-3.31134e-10,1.22043e-05,-4.39431e-13,-9.8679e-10,0,0,0.250746,0.199509,0.797122,0.179984,0,1,0,0,0,0,0,0,0,0,0,0,0.527582,0.857151,0.274678,0.218551,0.873204,0.394325,0.246075,0.460627,0.0828353,0.103599,0.165661,0.0779237,1,0.803681,0.196319,0,0,0.486384,0.513616,0,0,0,0.488517,0.511483,0,0,0,1,0,0.1429,0.133893,0.109839,0.0892717,0.0641285,0.0559471,0.0685469,0.0917277,0.107679,0.130774,0.144952,0.150369
0,8,0,0,1,0,0,0,0,75,0.246,0.246,0,0,0,0,0,0,0.502634,-0.0180818,0.00224779,0,0,0.751649,0.781089,0.999999,0.488333,0,0,-0.0754943,-0.039311,-0.0799995,0.130149,0.0182688,-0.000286409,-4.76009e-09,2.34352e-09,-4.23478e-13,-1.13552e-09,0,0,0.2529,0.196347,0.796783,0.167755,0,1,0,0,0,0,0,0,0,0,0,0,0.51699,0.877213,0.277038,0.215088,0.872832,0.367533,0.23453,0.450878,0.0820535,0.100205,0.165244,0.0776694,1,0.811037,0.188963,0,0,0.486154,0.513846,0,0,0,0.488431,0.511569,0,0,0,1,0,0.144053,0.135234,0.109635,0.0859442,0.0569471,0.048136,0.0589767,0.0839392,0.103016,0.129546,0.146078,0.151162
0,9,0,0,1,0,0,0,0,75,0.232,0.232,0,0,0,0,0,0,0.497425,0.010588,0.00151328,0,0,0.751321,0.751337,0.999999,0.476742,0,0,-0.0512501,-0.0440642,-0.0399998,0.260018,0.0124125,-0.000306244,1.36594e-09,-1.73847e-09,-5.1551e-13,-9.23313e-10,0,0,0.254014,0.19787,0.798099,0.193061,0,1,0,0,0,0,0,0,0,0,0,0,0.514812,0.881133,0.278259,0.216756,0.874273,0.422976,0.223564,0.444973,0.0817812,0.0973998,0.164938,0.078311,1,0.807969,0.192031,0,0,0.48872,0.51128,0,0,0,0.488188,0.511812,0,0,0,1,0,0.145079,0.136752,0.110028,0.083015,0.050414,0.0414155,0.0507426,0.0766276,0.0995786,0.127991,0.146907,0.151928
