batch,epoch,avg_sse,cnt_err,pct_cor,pct_err,avg_norm_err,avg_cos_err,avg_ext_rew,avg_cycles,epoch_time_tot,epoch_time_usr,PFCout_lay_avg_sse,PFCout_lay_cnt_err,PFCout_lay_pct_cor,PFCout_lay_pct_err,PFCout_lay_avg_norm_err,PFCout_lay_avg_cos_err,net_avg_cos_diff,net_avg_trial_cos_diff,net_avg_avg_act_diff,GPeNoGo_avg_cos_diff,GPi_Thalamus_avg_cos_diff,MatrixGo_avg_cos_diff,MatrixNoGo_avg_cos_diff,PFCout_avg_cos_diff,PFCout_deep_avg_cos_diff,GPeNoGo_avg_trial_cos_diff,GPi_Thalamus_avg_trial_cos_diff,MatrixGo_avg_trial_cos_diff,MatrixNoGo_avg_trial_cos_diff,PFCout_avg_trial_cos_diff,PFCout_deep_avg_trial_cos_diff,GPeNoGo_avg_avg_act_diff,GPi_Thalamus_avg_avg_act_diff,MatrixGo_avg_avg_act_diff,MatrixNoGo_avg_avg_act_diff,PFCout_avg_avg_act_diff,PFCout_deep_avg_avg_act_diff,GPeNoGo_avg_net_sd,GPi_Thalamus_avg_net_sd,MatrixGo_avg_net_sd,MatrixNoGo_avg_net_sd,PFCout_avg_net_sd,PFCout_deep_avg_net_sd,GPeNoGo_hog_pct,GPi_Thalamus_hog_pct,MatrixGo_hog_pct,MatrixNoGo_hog_pct,PFCout_hog_pct,PFCout_deep_hog_pct,GPeNoGo_dead_pct,GPi_Thalamus_dead_pct,MatrixGo_dead_pct,MatrixNoGo_dead_pct,PFCout_dead_pct,PFCout_deep_dead_pct,GPeNoGo_netmax,GPi_Thalamus_netmax,MatrixGo_netmax,MatrixNoGo_netmax,PFCout_netmax,PFCout_deep_netmax,GPeNoGo_avg_act,GPi_Thalamus_avg_act,MatrixGo_avg_act,MatrixNoGo_avg_act,PFCout_avg_act,PFCout_deep_avg_act,GPeNoGo_Fm_MatrixNoGo_netrel,GPi_Thalamus_Fm_MatrixGo_netrel,GPi_Thalamus_Fm_GPeNoGo_netrel,MatrixGo_Marker_Fm_GPi_Thalamus_netrel,MatrixGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixGo_Fm_Input_netrel,MatrixGo_Fm_PFCout_netrel,MatrixGo_Marker_Fm_SNc_netrel,MatrixNoGo_Marker_Fm_GPi_Thalamus_netrel,MatrixNoGo_Deep_Raw_Fm_GPeNoGo_netrel,MatrixNoGo_Fm_Input_netrel,MatrixNoGo_Fm_PFCout_netrel,MatrixNoGo_Marker_Fm_SNc_netrel,PFCout_Marker_Fm_GPi_Thalamus_netrel,PFCout_Deep_Mod_Fm_PFCout_deep_netrel,PFCout_Fm_Input_netrel,PFCout_deep_Ctxt_Fm_PFCout_netrel,"MatrixGo_act_avg_0","MatrixGo_act_avg_1","MatrixGo_act_avg_2","MatrixGo_act_avg_3","MatrixGo_act_avg_4","MatrixGo_act_avg_5","MatrixNoGo_act_avg_0","MatrixNoGo_act_avg_1","MatrixNoGo_act_avg_2","MatrixNoGo_act_avg_3","MatrixNoGo_act_avg_4","MatrixNoGo_act_avg_5"
0,0,0,0,1,0,0,0,0,75,0.298,0.298,0,0,0,0,0,0,0.536756,0.0195761,-0.00115567,0,0,0.990455,0.996547,0.997095,0.312857,0,0,-0.0330708,-0.0326371,-0.0333067,0.288921,-0.0115258,0.00228044,7.28501e-09,6.62274e-10,-3.4175e-13,-5.77662e-10,0,0,0.225499,0.208706,0.760098,0.094752,0,0,0,0,0,0,0,0,0,0,0,0,0.565817,0.452861,0.247022,0.228626,0.832645,0.311387,0.516055,0.648799,0.112588,0.149313,0.177316,0.0881332,1,0.644538,0.355462,0,0,0.484457,0.515543,0,0,0,0.485672,0.514328,0,0,0,1,0,0.141545,0.141521,0.137308,0.138479,0.136251,0.139129,0.144025,0.146897,0.145319,0.146294,0.145259,0.14555
0,1,0,0,1,0,0,0,0,75,0.238,0.238,0,0,0,0,0,0,0.541753,0.00119424,0.00107362,0,0,0.986177,0.995978,0.999999,0.351869,0,0,-0.0406876,-0.0399382,-0.0399698,0.170109,0.00854984,3.90828e-05,8.27842e-09,-3.31137e-10,-3.23436e-13,-5.64339e-10,0,0,0.2329,0.202498,0.76578,0.102832,0,0,0,0,0,0,0,0,0,0,0,0,0.543484,0.490923,0.255129,0.221825,0.83887,0.307219,0.445053,0.607085,0.103044,0.1399,0.173839,0.0797329,1,0.659894,0.340106,0,0,0.485957,0.514043,0,0,0,0.483078,0.516922,0,0,0,1,0,0.137028,0.136529,0.12794,0.128445,0.123845,0.127465,0.135691,0.140951,0.14025,0.142769,0.143163,0.143499
0,2,0,0,1,0,0,0,0,75,0.231,0.231,0,0,0,0,0,0,0.549105,0.0713403,0.00533842,0,0,0.929927,0.980656,0.999999,0.48226,0,0,0.0731608,0.0829941,0.0799808,0.254615,0.0296718,0.0130356,1.08447e-08,-1.82125e-09,-3.62121e-13,-8.73948e-10,0,0,0.239728,0.198932,0.793586,0.151202,0,0,0,0,0,0,0,0,0,0,0,0,0.514595,0.514749,0.262608,0.217919,0.86933,0.331267,0.3943,0.579275,0.0967172,0.131436,0.171291,0.0784793,1,0.657333,0.342667,0,0,0.488591,0.511409,0,0,0,0.482177,0.517823,0,0,0,1,0,0.135748,0.134492,0.120623,0.12055,0.112184,0.114485,0.12504,0.132896,0.134384,0.139572,0.142574,0.143674
0,3,0,0,1,0,0,0,0,75,0.228,0.228,0,0,0,0,0,0,0.53919,0.0303321,-0.00263388,0,0,0.893382,0.943433,0.999999,0.47671,0,0,-0.0225406,0.0118599,-2.34097e-06,0.25334,-0.017922,-0.00314911,6.04325e-09,2.31796e-09,-4.61228e-13,-1.056e-09,0,0,0.247253,0.194112,0.795913,0.164237,0,0,0,0,0,0,0,0,0,0,0,0,0.479465,0.627118,0.270853,0.212639,0.871879,0.359825,0.348173,0.548332,0.0929473,0.122884,0.169412,0.0789372,1,0.67973,0.320269,0,0,0.489014,0.510986,0,0,0,0.481944,0.518056,0,0,0,1,0,0.137206,0.134373,0.116303,0.113393,0.101304,0.100712,0.112644,0.123423,0.128493,0.135859,0.141871,0.144856
0,4,0,0,1,0,0,0,0,75,0.226,0.226,0,0,0,0,0,0,0.532816,0.0289259,0.0020196,0,0,0.812966,0.872906,0.999999,0.576657,0,0,-0.0232033,0.0265949,-4.34369e-06,0.228023,0.0124815,0.00367524,3.73257e-09,1.15898e-09,-5.02521e-13,-1.45468e-09,0,0,0.253274,0.189437,0.817195,0.213589,0,1,0,0,0,0,0,0,0,0,0,0,0.448513,0.693175,0.277447,0.207518,0.895193,0.389959,0.313756,0.528308,0.0903575,0.115036,0.168041,0.0830822,1,0.714338,0.285662,0,0,0.487199,0.512801,0,0,0,0.482335,0.517665,0,0,0,1,0,0.139186,0.134374,0.115119,0.107599,0.0913825,0.0868053,0.0998899,0.113519,0.12169,0.132007,0.141134,0.147033
0,5,0,0,1,0,0,0,0,75,0.232,0.232,0,0,0,0,0,0,0.525652,0.020599,0.00344194,0,0,0.801738,0.854354,0.999999,0.549127,0,0,-0.028811,0.0238583,-1.04109e-06,0.169747,0.0134477,0.0140878,-6.88414e-10,-1.5522e-09,-4.03701e-13,-1.05017e-09,0,0,0.256175,0.188116,0.809947,0.193805,0,1,0,0,0,0,0,0,0,0,0,0,0.506861,0.722545,0.280625,0.206071,0.887252,0.374652,0.282456,0.515617,0.0888508,0.108264,0.16702,0.0848933,1,0.732829,0.267171,0,0,0.489816,0.510185,0,0,0,0.483257,0.516743,0,0,0,1,0,0.140958,0.134911,0.115057,0.102932,0.0822666,0.0746861,0.0874791,0.103968,0.114312,0.129041,0.142029,0.147964
0,6,0,0,1,0,0,0,0,75,0.228,0.228,0,0,0,0,0,0,0.518969,-0.036806,0.00417187,0,0,0.762417,0.779327,0.999999,0.610013,0,0,-0.115558,-0.120215,-0.159996,0.261315,0.0339452,-0.000576334,1.05137e-08,6.06048e-06,-6.65214e-13,-1.47394e-09,0,0,0.260462,0.186456,0.82478,0.239693,0,1,0,0,0,0,0,0,0,0,0,0,0.494049,0.745858,0.285322,0.204252,0.903501,0.414586,0.262831,0.499835,0.0882138,0.102355,0.166277,0.0887475,1,0.82217,0.17783,0,0,0.4887,0.5113,0,0,0,0.487487,0.512513,0,0,0,1,0,0.142561,0.136128,0.116194,0.0988995,0.0739692,0.0642587,0.0756916,0.0946046,0.106981,0.126685,0.142502,0.149202
0,7,0,0,1,0,0,0,0,75,0.228,0.228,0,0,0,0,0,0,0.50444,0.0254492,0.00518339,0,0,0.751792,0.77079,0.999999,0.512941,0,0,-0.0059082,0.0328304,-4.3114e-07,0.176672,0.0404603,0.00100687,1.21279e-08,2.00262e-09,-4.2812e-13,-1.06385e-09,0,0,0.260816,0.186424,0.804119,0.19369,0,1,0,0,0,0,0,0,0,0,0,0,0.490964,0.742963,0.28571,0.204217,0.880869,0.397831,0.246909,0.483215,0.0873294,0.0980609,0.165706,0.0871873,1,0.834987,0.165013,0,0,0.489754,0.510246,0,0,0,0.488312,0.511688,0,0,0,1,0,0.144133,0.136972,0.116709,0.0954987,0.0665315,0.0552872,0.0651239,0.0858303,0.100323,0.125237,0.143133,0.150603
0,8,0,0,1,0,0,0,0,75,0.228,0.228,0,0,0,0,0,0,0.522787,-0.0148828,0.00462819,0,0,0.765382,0.767736,0.999999,0.649183,0,0,-0.0675348,-0.0353285,-0.0799997,0.1438,0.0362691,0.000756412,6.20882e-10,1.40733e-09,-5.4026e-13,-1.47814e-09,0,0,0.263878,0.182406,0.831987,0.252606,0,1,0,0,0,0,0,0,0,0,0,0,0.477746,0.76423,0.289064,0.199816,0.911396,0.415074,0.238982,0.473072,0.0870441,0.0943292,0.165311,0.0917021,1,0.842318,0.157682,0,0,0.490118,0.509882,0,0,0,0.488192,0.511808,0,0,0,1,0,0.145153,0.138326,0.117052,0.0936576,0.0599941,0.0475682,0.0560316,0.07759,0.0947726,0.122884,0.143879,0.151371
0,9,0,0,1,0,0,0,0,75,0.218,0.218,0,0,0,0,0,0,0.518347,-0.00146767,0.00449321,0,0,0.766802,0.727897,0.999999,0.652077,0,0,-0.0504929,-0.0256257,-0.04,0.144377,0.0356515,0.000294137,-6.62274e-10,-3.22858e-09,-5.15989e-13,-1.43051e-09,0,0,0.264613,0.184269,0.832117,0.250449,0,1,0,0,0,0,0,0,0,0,0,0,0.476729,0.905439,0.289869,0.201856,0.911539,0.41153,0.228702,0.466782,0.087094,0.0912982,0.165021,0.0953223,1,0.852786,0.147214,0,0,0.490509,0.509491,0,0,0,0.48787,0.51213,0,0,0,1,0,0.146048,0.13978,0.117947,0.0920221,0.0539404,0.0409269,0.0482087,0.0699274,0.0904519,0.120355,0.144568,0.152114
